t,var_heat,var_qw
0.2,0.3999999999999204,0.07999999999999999
0.5052631578947369,1.0105263157893567,0.5105817174515233
0.8105263157894738,1.6210526315788185,1.3139058171745148
1.1157894736842104,2.2315789473683476,2.489972299168974
1.4210526315789473,2.8421052631578188,4.038781163434901
1.7263157894736842,3.4526315789472615,5.960332409972301
2.031578947368421,4.063157894736619,8.254626038781167
2.336842105263158,4.673684210524776,10.9216620498615
2.642105263157895,5.2842105263041175,13.961440443213302
2.947368421052632,5.89473684203471,17.373961218836577
3.2526315789473688,6.505263157550829,21.159224376731313
3.5578947368421057,7.1157894722806585,25.317229916897524
3.863157894736842,7.7263157845305495,29.847977839335154
4.168421052631579,8.336842089884344,34.75146814404355
4.473684210526316,8.947368377998432,40.027700831013014
4.778947368421053,9.557894626763227,45.676675900127904
5.08421052631579,10.168420792491718,51.69839335025948
5.389473684210526,10.778946794543756,58.09285317215413
5.6947368421052635,11.389472492653553,64.86005530107127
6.0,11.999997655237769,71.99999934513792
