seed,gcn,heat,qw
0,0.09214639412521412,0.0658162392186697,0.09593354463765418
1,0.11914816355765469,0.05862201989223861,0.07051444774013803
2,0.11236602163901836,0.064195246031188,0.10456267725488151
3,0.10509022942396128,0.06379870415636987,0.07363620906541445
4,0.08930016167913422,0.0541924216380023,0.06912988954872797
5,0.09047898749886739,0.0686871057959518,0.08949934304080377
6,0.10855537231522377,0.06161403035124143,0.09207143608217287
7,0.09885705459975835,0.07264322676517145,0.08232039855699046
