seed,op,mae,aurc
0,gcn,0.20007467546060476,0.2823494129362106
0,heat,0.19515338449355574,0.2667246501489895
0,qw,0.19518452078501475,0.2632606829327196
1,gcn,0.20960551588690246,0.28697949415435964
1,heat,0.2100495311961923,0.2870242582475534
1,qw,0.20330003127773208,0.2846500241582065
2,gcn,0.21144358295949667,0.30385469347614974
2,heat,0.21143720954753026,0.30354822818610855
2,qw,0.21145858333947026,0.3036006429054645
