op,mae_mean,mae_std,aurc_mean,aurc_std,params
gcn,0.20754243782319692,0.00701150272726505,0.27723774405196605,0.022583340021081387,3301
heat,0.16788468155708094,0.020869889303729933,0.2310218391273243,0.03224288937002399,3301
qw,0.148020230505893,0.0050804378631060035,0.15819414018876368,0.06002108299128988,3301
