variant,mae_mean,mae_std,aurc_mean,aurc_std,params
heat,0.06859252218502772,0.005320635259691966,0.08532343902741267,0.01675336150880135,3301
qw_lap,0.07112851558591832,0.008550665842249328,0.0774587507406991,0.016314288022050358,3301
qw_adj,0.066285232687369,0.005583598703627941,0.07515314433437881,0.010023657316104443,3301
qw_norm,0.0710857000117275,0.005425130856289982,0.08537690439680617,0.013394376481217489,3301
qw_multi,0.06906623080316368,0.01065767381616981,0.08173114879188673,0.009699002374099958,9581
